rust:event_dispatching,erlang:port_receive,port:message_queue_len,erlang:msg_byte_size,erlang:binary_to_term,chalk_pipeline:flush/0,erlang:term_to_binary,erlang:msg_byte_size,erlang:port_command
0.021511,0.100178,0,76,0.006613,0.001342,0.22264,804,0.013185
0.022362,0.098255,0,76,0.006692,0.001183,0.226677,804,0.014818
0.024076,0.114997,0,76,0.007945,0.001573,0.259108,804,0.013676
0.023955,0.085672,0,76,0.006632,0.001182,0.236476,804,0.013726
0.023835,0.112492,0,76,0.006082,0.001112,0.218722,804,0.012875
0.024657,0.198404,0,76,0.054112,0.001152,0.215536,804,0.012564
0.022232,0.089739,0,76,0.005811,0.001072,0.211118,804,0.013074
0.024677,0.097884,0,76,0.005591,0.001122,0.227148,804,0.013235
0.023824,0.104968,0,76,0.005571,0.001142,0.219474,804,0.012974
0.023665,0.100379,0,76,0.00545,0.001123,0.21763,804,0.012383
0.026059,0.106391,0,76,0.005079,0.001093,0.191,804,0.012082
0.02695,0.341574,0,76,0.005441,0.001132,0.21746,804,0.013295
0.028404,0.220977,0,76,0.00576,0.001143,0.214714,804,0.013015
0.025769,0.147107,0,76,0.013165,0.002785,0.327928,804,0.022783
0.027161,0.120106,0,76,0.012133,0.003136,0.272744,804,0.016211
0.023885,0.124003,0,76,0.012965,0.002925,0.270991,804,0.017744
0.024086,0.11706,0,76,0.011883,0.002414,0.258398,804,0.01638
0.023293,0.203173,0,76,0.008687,0.001392,0.236717,804,0.012804
0.024486,0.077646,0,76,0.004819,0.000962,0.194948,804,0.011561
0.025999,0.091632,0,76,0.005441,0.001082,0.199235,804,0.011322
0.023134,0.098405,0,76,0.00505,0.001041,0.19607,804,0.011492
0.024646,0.09019,0,76,0.00513,0.001032,0.189387,804,0.012373
0.021891,0.086493,0,76,0.005029,0.001032,0.1959,804,0.012073
0.024345,1.315781,0,76,0.011732,0.002445,0.249841,804,0.01608
0.023714,0.099107,0,76,0.011362,0.001953,0.263677,804,0.01566
0.024646,0.115809,0,76,0.009568,0.001583,0.251043,804,0.014267
0.022152,0.231606,0,76,0.062578,0.001193,0.217399,804,0.014257
0.026289,0.114186,0,76,0.012714,0.002925,0.266833,804,0.017453
0.022583,0.115909,0,76,0.009828,0.001743,0.241786,804,0.014227
0.0157,0.091111,0,76,0.005631,0.001012,0.225144,804,0.012614
0.028875,0.151886,0,76,0.006132,0.001252,0.22272,804,0.012433
0.024606,0.099798,0,76,0.006803,0.001372,0.203614,804,0.012494
0.019486,0.233911,0,76,0.005451,0.001162,0.200959,804,0.011892
0.022743,0.100709,0,76,0.00529,0.001152,0.206921,804,0.013265
0.019657,0.195519,0,76,0.00579,0.001153,0.214163,804,0.012304
0.022843,0.079039,0,76,0.005,0.001012,0.188906,804,0.011061
0.023063,0.104197,0,76,0.005921,0.001403,0.214324,804,0.012513
0.022743,0.098505,0,76,0.0053,0.001022,0.187845,804,0.012353
0.023665,0.091913,0,76,0.00507,0.001022,0.224794,804,0.012483
0.025799,0.114365,0,76,0.006422,0.001283,0.225435,804,0.013666
0.024897,0.110488,0,76,0.005981,0.001213,0.219433,804,0.012464
0.022933,0.183696,0,76,0.00521,0.000952,0.203734,804,0.013054
0.024406,0.121228,0,76,0.005851,0.001152,0.217921,804,0.013285
0.024767,0.108675,0,76,0.00555,0.001273,0.199095,804,0.011732
0.024216,0.109136,0,76,0.00559,0.001132,0.213663,804,0.013185
0.025188,0.114956,0,76,0.005541,0.001122,0.215316,804,0.013896
0.024776,0.211078,0,76,0.005531,0.001072,0.216077,804,0.012794
0.028093,0.224503,0,76,0.053261,0.001322,0.211589,804,0.012323
0.02645,0.107132,0,76,0.006693,0.001202,0.245142,804,0.013906
0.023735,0.105038,0,76,0.006181,0.001062,0.215396,804,0.013636
0.02636,0.108625,0,76,0.018775,0.001242,0.219254,804,0.012604
0.024726,0.104557,0,76,0.005691,0.001122,0.214104,804,0.012984
0.024306,0.110538,0,76,0.005621,0.001152,0.216578,804,0.013295
0.028033,0.115377,0,76,0.012123,0.002585,0.281571,804,0.017863
0.020338,0.118383,0,76,0.012885,0.003045,0.262275,804,0.016701
0.013395,0.087826,0,76,0.006983,0.001172,0.223131,804,0.012533
0.013416,0.081122,0,76,0.005401,0.001102,0.214334,804,0.014277
0.012624,0.081874,0,76,0.00527,0.001012,0.199195,804,0.012243
0.013326,0.095019,0,76,0.00571,0.001163,0.269688,804,0.015199
0.019556,0.077887,0,76,0.007594,0.002155,0.242978,804,0.012934
0.022242,0.078017,0,76,0.00519,0.001052,0.198885,804,0.011431
0.024085,0.092655,0,76,0.00523,0.001062,0.198434,804,0.011992
0.024997,0.273946,0,76,0.005691,0.001192,0.222289,804,0.012464
0.023996,0.097804,0,76,0.00548,0.001102,0.216639,804,0.012443
0.023214,0.108304,0,76,0.005751,0.001152,0.222189,804,0.013055
0.023164,0.082836,0,76,0.00521,0.001002,0.204986,804,0.012674
0.023354,0.099087,0,76,0.00535,0.001102,0.224854,804,0.014627
0.029165,0.303472,0,76,0.005691,0.001222,0.2653,804,0.013546
0.025178,0.101311,0,76,0.006231,0.001153,0.246845,804,0.012884
0.023945,0.107082,0,76,0.006322,0.001282,0.221328,804,0.013315
0.025938,0.114216,0,76,0.005741,0.001162,0.286069,804,0.013035
0.025187,0.096372,0,76,0.006712,0.001183,0.245623,804,0.014898
0.023655,0.098265,0,76,0.006062,0.001242,0.222019,804,0.013074
0.024406,0.130977,0,76,0.012984,0.002946,0.321315,804,0.017564
0.025137,0.140325,0,76,0.012824,0.002725,0.265962,804,0.017112
0.024977,0.118373,0,76,0.010731,0.002154,0.258136,804,0.014478
0.027733,0.110598,0,76,0.006122,0.001082,0.203814,804,0.013926
0.023374,0.079691,0,76,0.005259,0.001303,0.194507,804,0.011271
0.027903,2.314734,0,76,0.009168,0.001863,0.246725,804,0.014107
0.02688,0.129024,0,76,0.012413,0.002825,0.265271,804,0.0161
0.027412,0.112262,0,76,0.010509,0.001543,0.311307,804,0.014468
0.030027,0.123392,0,76,0.006533,0.001242,0.242377,804,0.015549
0.027171,0.124154,0,76,0.005851,0.000982,0.250462,804,0.011823
0.029786,0.115357,0,76,0.005641,0.001162,0.197793,804,0.011812
0.024566,0.284176,0,76,0.005681,0.001002,0.200608,804,0.012894
0.027412,0.094297,0,76,0.005821,0.001022,0.198074,804,0.011101
0.025007,0.101391,0,76,0.00554,0.001273,0.199496,804,0.011111
0.017904,0.104677,0,76,0.00534,0.001002,0.297461,804,0.011301
0.01583,0.073148,0,76,0.006071,0.001112,0.227199,804,0.011892
0.019637,0.107612,0,76,0.006433,0.001172,0.220766,804,0.012954
0.024526,0.10587,0,76,0.00537,0.001012,0.207952,804,0.012143
0.023945,0.109376,0,76,0.005681,0.001092,0.217159,804,0.012414
0.022903,0.093516,0,76,0.0051,0.001142,0.207852,804,0.013265
0.02636,0.099617,0,76,0.007214,0.001262,0.272434,804,0.014317
0.026149,0.092815,0,76,0.006211,0.001032,0.220005,804,0.012874
0.025939,0.086002,0,76,0.006412,0.001072,0.243349,804,0.015038
0.024286,0.326355,0,76,0.00532,0.001122,0.198394,804,0.011462
0.025618,0.101802,0,76,0.006011,0.001182,0.219003,804,0.018585
0.025879,0.107552,0,76,0.005911,0.001102,0.213553,804,0.012083
0.025458,0.100109,0,76,0.006061,0.001132,0.234112,804,0.012283
0.022542,0.088677,0,76,0.00519,0.001082,0.203223,804,0.013756
